Subject_BodySite,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer
subject-1_gut,pc1,0.41463466140718486,0.0036099960640141216,-0.5421246282242891,-30.398314235507293,4,1.1712256918095028,basinhopping
subject-1_gut,pc2,-0.4051399941626821,0.032685818394581054,0.025037099469834324,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-1_gut,pc3,0.42444832536440746,0.04177620395689213,-0.0019156780680124285,-30.39831423550728,4,1.1712256918095036,basinhopping
subject-1_left-palm,pc1,-0.4043399589765312,0.0267658309128339,0.1830945925953103,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-1_left-palm,pc2,-0.40215883325447876,-0.024561846892804856,-0.20531447296475908,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-1_left-palm,pc3,0.39130951425809474,-0.0246341814184541,0.2857180937837694,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-1_right-palm,pc1,-0.4045887541271699,0.03113465154104385,0.15796245867943645,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-1_right-palm,pc2,0.4155689703110659,0.00018518302439041566,-2.5981064092321815,-30.39831423550729,4,1.1712256918095036,basinhopping
subject-1_right-palm,pc3,0.41527841031756507,-0.23493108418894446,0.13882374295790698,-30.39831423550729,4,1.1712256918095036,basinhopping
subject-1_tongue,pc1,-0.873147405561451,0.04062855661355945,0.2759097641214222,-27.55084161558471,5,3.367933832415231,basinhopping
subject-1_tongue,pc2,-0.8970629903452266,0.005208968939055866,0.2904469950476958,-24.257976210879924,5,3.6225090415698276,basinhopping
subject-1_tongue,pc3,-0.8792277089369425,0.03174358226736007,-0.040403880910671014,-26.767721209285565,5,3.4256065417685546,basinhopping
subject-2_gut,pc1,0.403253294817852,-0.021056753335538574,-0.5796903669264681,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-2_gut,pc2,-0.4024426194700813,0.0066459201521163625,0.016833329629457515,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-2_gut,pc3,-0.4132603631644496,0.012861670757509422,0.0012675595148196207,-30.398314235507293,4,1.1712256918095028,basinhopping
subject-2_left-palm,pc1,0.3973769876671654,0.015961715118484134,0.18911694512424632,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-2_left-palm,pc2,0.4155288161854315,0.03488242437395822,0.04242485583226409,-30.398314235507293,4,1.1712256918095028,basinhopping
subject-2_left-palm,pc3,-0.4025779349392077,-0.0174374815306811,0.09704766796558117,-30.398314235507293,4,1.1712256918095028,basinhopping
subject-2_right-palm,pc1,-0.40238923342344407,0.00992166383354825,0.3378611180754136,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-2_right-palm,pc2,-0.4132641521668319,0.04034598648881907,-0.056368125910403105,-30.398314235507293,4,1.1712256918095028,basinhopping
subject-2_right-palm,pc3,0.4149625566599965,0.004583561218193706,-0.05900271199415272,-30.398314235507293,4,1.1712256918095028,basinhopping
subject-2_tongue,pc1,-0.40385424621107247,0.4621005075816298,0.29795485042524683,-30.398314235507296,4,1.1712256918095028,basinhopping
subject-2_tongue,pc2,-0.4145649011499204,0.3391568676310947,0.2133829403691404,-30.398314235507293,4,1.1712256918095028,basinhopping
subject-2_tongue,pc3,0.4137487414683552,-0.1617238593565991,0.07803652735551708,-30.398314235507293,4,1.1712256918095028,basinhopping
